"rank","Genotype","order","branching_type","n","total","prob"
9,"Ciflorette",1,"branch crown",1,2,0.5
9,"Ciflorette",1,"vegetative bud",1,2,0.5
9,"Ciflorette",2,"",1,3,0.333333333333333
9,"Ciflorette",2,"vegetative bud",2,3,0.666666666666667
9,"Cigaline",0,"branch crown",1,1,1
9,"Cigaline",1,"vegetative bud",1,1,1
9,"Cigaline",2,"branch crown",1,1,1
9,"Cigaline",3,"vegetative bud",1,1,1
9,"CIR107",1,"vegetative bud",3,3,1
9,"CIR107",2,"vegetative bud",3,3,1
9,"Cireine",1,"branch crown",1,4,0.25
9,"Cireine",1,"vegetative bud",3,4,0.75
9,"Cireine",3,"vegetative bud",2,2,1
9,"Clery",0,"vegetative bud",1,1,1
9,"Clery",1,"branch crown",1,1,1
9,"Clery",2,"vegetative bud",3,3,1
9,"Clery",3,"vegetative bud",1,1,1
9,"Darselect",1,"branch crown",1,1,1
9,"Darselect",2,"-1",1,2,0.5
9,"Darselect",2,"branch crown",1,2,0.5
9,"Darselect",3,"vegetative bud",2,2,1
9,"Dream",0,"vegetative bud",1,1,1
9,"Dream",2,"branch crown",1,1,1
9,"Dream",3,"vegetative bud",3,3,1
9,"gariguette",0,"branch crown",3,5,0.6
9,"gariguette",0,"vegetative bud",2,5,0.4
9,"gariguette",1,"vegetative bud",1,1,1
9,"Leroy Ladurie",0,"branch crown",2,3,0.666666666666667
9,"Leroy Ladurie",0,"vegetative bud",1,3,0.333333333333333
9,"Leroy Ladurie",1,"vegetative bud",1,1,1
9,"Leroy Ladurie",2,"stolon",1,1,1
9,"Leroy Ladurie",4,"vegetative bud",1,1,1
9,"Magnum",0,"vegetative bud",1,1,1
9,"Magnum",1,"vegetative bud",3,3,1
9,"Magnum",2,"vegetative bud",2,2,1
9,"Manon",0,"branch crown",1,1,1
9,"Manon",1,"vegetative bud",3,3,1
9,"Manon",2,"vegetative bud",1,1,1
9,"Moutot",2,"branch crown",1,2,0.5
9,"Moutot",2,"vegetative bud",1,2,0.5
9,"Moutot",3,"vegetative bud",1,1,1
9,"Moutot",4,"branch crown",1,1,1
9,"Osiris",0,"vegetative bud",1,1,1
9,"Osiris",1,"branch crown",2,4,0.5
9,"Osiris",1,"vegetative bud",2,4,0.5
9,"Osiris",2,"vegetative bud",1,1,1
9,"Rubis",2,"branch crown",1,2,0.5
9,"Rubis",2,"vegetative bud",1,2,0.5
9,"Rubis",3,"vegetative bud",1,1,1
9,"Rubis",4,"vegetative bud",1,1,1
9,"Sanié",1,"vegetative bud",1,1,1
9,"Sanié",2,"-1",1,2,0.5
9,"Sanié",2,"vegetative bud",1,2,0.5
9,"Sanié",3,"branch crown",1,1,1
9,"Sanié",4,"vegetative bud",1,1,1
9,"Sans rivale",0,"branch crown",2,2,1
9,"Sans rivale",1,"-1",1,1,1
10,"Belle_et_Bonne",1,"vegetative bud",2,2,1
10,"Belle_et_Bonne",2,"branch crown",1,3,0.333333333333333
10,"Belle_et_Bonne",2,"vegetative bud",2,3,0.666666666666667
10,"Belrubi",0,"branch crown",1,1,1
10,"Belrubi",2,"aborted/dried bud",1,2,0.5
10,"Belrubi",2,"vegetative bud",1,2,0.5
10,"CF10122",1,"branch crown",1,1,1
10,"CF10122",2,"branch crown",1,4,0.25
10,"CF10122",2,"vegetative bud",3,4,0.75
10,"CF10122",3,"vegetative bud",1,1,1
10,"CF10277",1,"branch crown",2,3,0.666666666666667
10,"CF10277",1,"vegetative bud",1,3,0.333333333333333
10,"CF10277",2,"vegetative bud",2,2,1
10,"CF10277",3,"vegetative bud",1,1,1
10,"CF12074",1,"branch crown",1,1,1
10,"CF12074",2,"branch crown",2,4,0.5
10,"CF12074",2,"vegetative bud",2,4,0.5
10,"CF9416",0,"vegetative bud",1,1,1
10,"CF9416",1,"branch crown",1,2,0.5
10,"CF9416",1,"vegetative bud",1,2,0.5
10,"CF9416",2,"vegetative bud",2,2,1
10,"Ciflorette",2,"",1,4,0.25
10,"Ciflorette",2,"vegetative bud",3,4,0.75
10,"Cigaline",0,"branch crown",1,1,1
10,"Cigaline",1,"branch crown",1,1,1
10,"Cigaline",3,"vegetative bud",2,2,1
10,"CIR107",1,"branch crown",1,3,0.333333333333333
10,"CIR107",1,"vegetative bud",2,3,0.666666666666667
10,"CIR107",2,"branch crown",2,3,0.666666666666667
10,"CIR107",2,"vegetative bud",1,3,0.333333333333333
10,"Cireine",1,"branch crown",2,3,0.666666666666667
10,"Cireine",1,"vegetative bud",1,3,0.333333333333333
10,"Cireine",2,"vegetative bud",1,1,1
10,"Cireine",3,"vegetative bud",2,2,1
10,"Clery",0,"branch crown",1,1,1
10,"Clery",2,"branch crown",2,4,0.5
10,"Clery",2,"vegetative bud",2,4,0.5
10,"Clery",3,"vegetative bud",1,1,1
10,"Darselect",1,"branch crown",1,1,1
10,"Darselect",3,"-1",1,3,0.333333333333333
10,"Darselect",3,"branch crown",1,3,0.333333333333333
10,"Darselect",3,"vegetative bud",1,3,0.333333333333333
10,"Dream",3,"branch crown",1,4,0.25
10,"Dream",3,"vegetative bud",3,4,0.75
10,"gariguette",0,"branch crown",1,3,0.333333333333333
10,"gariguette",0,"vegetative bud",2,3,0.666666666666667
10,"gariguette",1,"branch crown",1,3,0.333333333333333
10,"gariguette",1,"vegetative bud",2,3,0.666666666666667
10,"Leroy Ladurie",0,"branch crown",1,2,0.5
10,"Leroy Ladurie",0,"vegetative bud",1,2,0.5
10,"Leroy Ladurie",1,"stolon",1,2,0.5
10,"Leroy Ladurie",1,"vegetative bud",1,2,0.5
10,"Leroy Ladurie",2,"branch crown",1,1,1
10,"Leroy Ladurie",4,"vegetative bud",1,1,1
10,"Magnum",0,"vegetative bud",1,1,1
10,"Magnum",1,"branch crown",1,2,0.5
10,"Magnum",1,"vegetative bud",1,2,0.5
10,"Magnum",2,"branch crown",1,2,0.5
10,"Magnum",2,"vegetative bud",1,2,0.5
10,"Manon",0,"branch crown",1,1,1
10,"Manon",1,"branch crown",1,3,0.333333333333333
10,"Manon",1,"vegetative bud",2,3,0.666666666666667
10,"Manon",2,"vegetative bud",1,1,1
10,"Moutot",2,"vegetative bud",1,1,1
10,"Moutot",3,"-1",1,2,0.5
10,"Moutot",3,"vegetative bud",1,2,0.5
10,"Moutot",5,"vegetative bud",1,1,1
10,"Osiris",0,"branch crown",1,1,1
10,"Osiris",1,"-1",1,2,0.5
10,"Osiris",1,"vegetative bud",1,2,0.5
10,"Osiris",2,"branch crown",1,3,0.333333333333333
10,"Osiris",2,"vegetative bud",2,3,0.666666666666667
10,"Rubis",2,"branch crown",1,2,0.5
10,"Rubis",2,"vegetative bud",1,2,0.5
10,"Rubis",3,"vegetative bud",1,1,1
10,"Rubis",4,"branch crown",1,1,1
10,"Sanié",1,"vegetative bud",1,1,1
10,"Sanié",2,"branch crown",1,2,0.5
10,"Sanié",2,"vegetative bud",1,2,0.5
10,"Sanié",4,"vegetative bud",2,2,1
10,"Sans rivale",0,"branch crown",2,2,1
11,"Belle_et_Bonne",1,"branch crown",2,2,1
11,"Belle_et_Bonne",2,"branch crown",1,2,0.5
11,"Belle_et_Bonne",2,"vegetative bud",1,2,0.5
11,"Belle_et_Bonne",3,"vegetative bud",1,1,1
11,"Belrubi",1,"vegetative bud",1,1,1
11,"Belrubi",2,"branch crown",1,1,1
11,"CF10122",2,"branch crown",1,4,0.25
11,"CF10122",2,"vegetative bud",3,4,0.75
11,"CF10122",3,"vegetative bud",1,1,1
11,"CF10277",1,"branch crown",1,1,1
11,"CF10277",2,"vegetative bud",3,3,1
11,"CF10277",3,"-1",1,1,1
11,"CF12074",1,"branch crown",1,1,1
11,"CF12074",2,"vegetative bud",2,2,1
11,"CF12074",3,"vegetative bud",2,2,1
11,"CF9416",0,"vegetative bud",1,1,1
11,"CF9416",1,"branch crown",1,1,1
11,"CF9416",2,"branch crown",2,3,0.666666666666667
11,"CF9416",2,"vegetative bud",1,3,0.333333333333333
11,"Ciflorette",2,"-1",1,4,0.25
11,"Ciflorette",2,"branch crown",1,4,0.25
11,"Ciflorette",2,"vegetative bud",2,4,0.5
11,"Cigaline",1,"vegetative bud",1,1,1
11,"Cigaline",2,"vegetative bud",1,1,1
11,"Cigaline",3,"vegetative bud",1,1,1
11,"CIR107",1,"branch crown",2,2,1
11,"CIR107",2,"vegetative bud",2,2,1
11,"CIR107",3,"branch crown",1,2,0.5
11,"CIR107",3,"vegetative bud",1,2,0.5
11,"Cireine",1,"vegetative bud",1,1,1
11,"Cireine",2,"vegetative bud",3,3,1
11,"Cireine",3,"vegetative bud",1,1,1
11,"Clery",1,"branch crown",1,1,1
11,"Clery",2,"branch crown",1,3,0.333333333333333
11,"Clery",2,"vegetative bud",2,3,0.666666666666667
11,"Clery",3,"vegetative bud",2,2,1
11,"Darselect",2,"vegetative bud",1,1,1
11,"Darselect",4,"vegetative bud",1,1,1
11,"Dream",3,"branch crown",2,3,0.666666666666667
11,"Dream",3,"vegetative bud",1,3,0.333333333333333
11,"Dream",4,"vegetative bud",1,1,1
11,"gariguette",0,"branch crown",2,3,0.666666666666667
11,"gariguette",0,"vegetative bud",1,3,0.333333333333333
11,"gariguette",1,"branch crown",2,2,1
11,"gariguette",2,"vegetative bud",1,1,1
11,"Leroy Ladurie",0,"branch crown",2,2,1
11,"Leroy Ladurie",1,"branch crown",1,2,0.5
11,"Leroy Ladurie",1,"stolon",1,2,0.5
11,"Leroy Ladurie",3,"vegetative bud",1,1,1
11,"Leroy Ladurie",4,"branch crown",1,1,1
11,"Magnum",0,"branch crown",1,1,1
11,"Magnum",1,"branch crown",1,1,1
11,"Magnum",2,"vegetative bud",2,2,1
11,"Magnum",3,"vegetative bud",1,1,1
11,"Manon",1,"vegetative bud",2,2,1
11,"Manon",2,"branch crown",1,2,0.5
11,"Manon",2,"vegetative bud",1,2,0.5
11,"Moutot",2,"vegetative bud",1,1,1
11,"Moutot",3,"vegetative bud",1,1,1
11,"Moutot",5,"vegetative bud",1,1,1
11,"Osiris",0,"vegetative bud",1,1,1
11,"Osiris",1,"branch crown",1,1,1
11,"Osiris",2,"branch crown",1,3,0.333333333333333
11,"Osiris",2,"vegetative bud",2,3,0.666666666666667
11,"Rubis",2,"vegetative bud",1,1,1
11,"Rubis",3,"branch crown",1,2,0.5
11,"Rubis",3,"vegetative bud",1,2,0.5
11,"Rubis",4,"branch crown",1,1,1
11,"Sanié",1,"vegetative bud",1,1,1
11,"Sanié",2,"branch crown",1,1,1
11,"Sanié",3,"vegetative bud",1,1,1
11,"Sanié",4,"branch crown",1,2,0.5
11,"Sanié",4,"vegetative bud",1,2,0.5
11,"Sans rivale",1,"vegetative bud",2,2,1
12,"Belle_et_Bonne",1,"vegetative bud",1,1,1
12,"Belle_et_Bonne",2,"branch crown",2,2,1
12,"Belle_et_Bonne",3,"stolon",1,2,0.5
12,"Belle_et_Bonne",3,"vegetative bud",1,2,0.5
12,"Belrubi",1,"branch crown",1,1,1
12,"Belrubi",3,"vegetative bud",1,1,1
12,"CF10122",2,"branch crown",1,2,0.5
12,"CF10122",2,"vegetative bud",1,2,0.5
12,"CF10122",3,"vegetative bud",1,1,1
12,"CF10277",2,"vegetative bud",3,3,1
12,"CF12074",2,"branch crown",1,3,0.333333333333333
12,"CF12074",2,"vegetative bud",2,3,0.666666666666667
12,"CF12074",3,"branch crown",1,2,0.5
12,"CF12074",3,"vegetative bud",1,2,0.5
12,"CF9416",0,"branch crown",1,1,1
12,"CF9416",1,"branch crown",1,1,1
12,"CF9416",2,"vegetative bud",1,1,1
12,"CF9416",3,"vegetative bud",2,2,1
12,"Ciflorette",2,"vegetative bud",1,1,1
12,"Ciflorette",3,"",1,1,1
12,"Cigaline",1,"vegetative bud",1,1,1
12,"Cigaline",2,"-1",1,1,1
12,"Cigaline",3,"-1",1,1,1
12,"CIR107",1,"branch crown",1,1,1
12,"CIR107",2,"vegetative bud",2,2,1
12,"CIR107",3,"vegetative bud",1,1,1
12,"CIR107",4,"vegetative bud",1,1,1
12,"Cireine",1,"branch crown",1,1,1
12,"Cireine",2,"branch crown",2,3,0.666666666666667
12,"Cireine",2,"vegetative bud",1,3,0.333333333333333
12,"Clery",2,"-1",1,2,0.5
12,"Clery",2,"vegetative bud",1,2,0.5
12,"Clery",3,"branch crown",1,3,0.333333333333333
12,"Clery",3,"vegetative bud",2,3,0.666666666666667
12,"Darselect",2,"vegetative bud",1,1,1
12,"Darselect",4,"vegetative bud",1,1,1
12,"Dream",3,"branch crown",1,2,0.5
12,"Dream",3,"vegetative bud",1,2,0.5
12,"Dream",4,"vegetative bud",2,2,1
12,"gariguette",0,"branch crown",3,3,1
12,"gariguette",2,"-1",1,3,0.333333333333333
12,"gariguette",2,"vegetative bud",2,3,0.666666666666667
12,"Leroy Ladurie",0,"branch crown",1,1,1
12,"Leroy Ladurie",1,"vegetative bud",2,2,1
12,"Leroy Ladurie",2,"stolon",1,1,1
12,"Leroy Ladurie",3,"vegetative bud",1,1,1
12,"Leroy Ladurie",5,"stolon",1,1,1
12,"Magnum",0,"branch crown",1,1,1
12,"Magnum",1,"branch crown",1,1,1
12,"Magnum",2,"-1",1,2,0.5
12,"Magnum",2,"vegetative bud",1,2,0.5
12,"Magnum",3,"vegetative bud",1,1,1
12,"Manon",1,"branch crown",1,2,0.5
12,"Manon",1,"vegetative bud",1,2,0.5
12,"Manon",2,"vegetative bud",1,1,1
12,"Manon",3,"vegetative bud",1,1,1
12,"Moutot",2,"vegetative bud",1,1,1
12,"Moutot",5,"vegetative bud",1,1,1
12,"Osiris",0,"branch crown",1,1,1
12,"Osiris",2,"branch crown",2,3,0.666666666666667
12,"Osiris",2,"vegetative bud",1,3,0.333333333333333
12,"Osiris",3,"vegetative bud",1,1,1
12,"Rubis",2,"vegetative bud",1,1,1
12,"Rubis",4,"vegetative bud",1,1,1
12,"Rubis",5,"vegetative bud",1,1,1
12,"Sanié",1,"branch crown",1,1,1
12,"Sanié",3,"vegetative bud",2,2,1
12,"Sanié",4,"branch crown",1,1,1
12,"Sanié",5,"vegetative bud",1,1,1
12,"Sans rivale",1,"branch crown",1,2,0.5
12,"Sans rivale",1,"vegetative bud",1,2,0.5
13,"Belle_et_Bonne",1,"branch crown",1,1,1
13,"Belle_et_Bonne",2,"vegetative bud",1,1,1
13,"Belle_et_Bonne",3,"vegetative bud",3,3,1
13,"Belrubi",2,"vegetative bud",1,1,1
13,"Belrubi",3,"vegetative bud",1,1,1
13,"CF10122",3,"vegetative bud",1,1,1
13,"CF10277",2,"branch crown",1,3,0.333333333333333
13,"CF10277",2,"vegetative bud",2,3,0.666666666666667
13,"CF12074",2,"branch crown",2,3,0.666666666666667
13,"CF12074",2,"vegetative bud",1,3,0.333333333333333
13,"CF12074",3,"branch crown",1,1,1
13,"CF12074",4,"vegetative bud",1,1,1
13,"CF9416",1,"vegetative bud",1,1,1
13,"CF9416",2,"vegetative bud",2,2,1
13,"CF9416",3,"branch crown",1,2,0.5
13,"CF9416",3,"vegetative bud",1,2,0.5
13,"Ciflorette",3,"",1,1,1
13,"Cigaline",1,"vegetative bud",1,1,1
13,"CIR107",2,"vegetative bud",3,3,1
13,"CIR107",3,"vegetative bud",1,1,1
13,"CIR107",4,"vegetative bud",1,1,1
13,"Cireine",2,"vegetative bud",2,2,1
13,"Cireine",3,"vegetative bud",2,2,1
13,"Clery",2,"branch crown",1,1,1
13,"Clery",3,"vegetative bud",2,2,1
13,"Clery",4,"vegetative bud",1,1,1
13,"Darselect",4,"vegetative bud",1,1,1
13,"Dream",4,"branch crown",1,2,0.5
13,"Dream",4,"vegetative bud",1,2,0.5
13,"gariguette",0,"branch crown",2,2,1
13,"gariguette",1,"vegetative bud",1,1,1
13,"gariguette",2,"-1",1,2,0.5
13,"gariguette",2,"vegetative bud",1,2,0.5
13,"Leroy Ladurie",1,"branch crown",1,3,0.333333333333333
13,"Leroy Ladurie",1,"vegetative bud",2,3,0.666666666666667
13,"Leroy Ladurie",2,"vegetative bud",1,1,1
13,"Leroy Ladurie",3,"stolon",1,1,1
13,"Leroy Ladurie",5,"stolon",1,1,1
13,"Magnum",1,"vegetative bud",1,1,1
13,"Magnum",2,"vegetative bud",1,1,1
13,"Magnum",3,"vegetative bud",1,1,1
13,"Manon",1,"branch crown",1,1,1
13,"Manon",2,"vegetative bud",2,2,1
13,"Manon",3,"vegetative bud",1,1,1
13,"Moutot",2,"vegetative bud",1,1,1
13,"Moutot",5,"vegetative bud",1,1,1
13,"Osiris",1,"vegetative bud",1,1,1
13,"Osiris",2,"vegetative bud",1,1,1
13,"Osiris",3,"vegetative bud",3,3,1
13,"Rubis",2,"stolon",1,1,1
13,"Rubis",4,"vegetative bud",1,1,1
13,"Rubis",5,"vegetative bud",1,1,1
13,"Sanié",2,"vegetative bud",1,1,1
13,"Sanié",3,"-1",1,2,0.5
13,"Sanié",3,"vegetative bud",1,2,0.5
13,"Sanié",5,"vegetative bud",2,2,1
13,"Sans rivale",1,"branch crown",1,1,1
13,"Sans rivale",2,"vegetative bud",1,1,1
14,"Belle_et_Bonne",2,"vegetative bud",2,2,1
14,"Belle_et_Bonne",3,"vegetative bud",3,3,1
14,"Belrubi",2,"vegetative bud",1,1,1
14,"CF10277",2,"-1",1,2,0.5
14,"CF10277",2,"vegetative bud",1,2,0.5
14,"CF10277",3,"vegetative bud",1,1,1
14,"CF12074",3,"vegetative bud",2,2,1
14,"CF12074",4,"vegetative bud",2,2,1
14,"CF9416",1,"branch crown",1,1,1
14,"CF9416",2,"-1",1,2,0.5
14,"CF9416",2,"vegetative bud",1,2,0.5
14,"CF9416",4,"vegetative bud",1,1,1
14,"Ciflorette",3,"vegetative bud",1,1,1
14,"Cigaline",1,"branch crown",1,1,1
14,"CIR107",2,"branch crown",2,3,0.666666666666667
14,"CIR107",2,"vegetative bud",1,3,0.333333333333333
14,"CIR107",4,"vegetative bud",1,1,1
14,"Cireine",2,"vegetative bud",2,2,1
14,"Cireine",3,"vegetative bud",2,2,1
14,"Clery",3,"-1",2,3,0.666666666666667
14,"Clery",3,"vegetative bud",1,3,0.333333333333333
14,"Clery",4,"vegetative bud",1,1,1
14,"Darselect",4,"vegetative bud",1,1,1
14,"Dream",4,"branch crown",2,2,1
14,"gariguette",0,"vegetative bud",1,1,1
14,"gariguette",1,"branch crown",1,2,0.5
14,"gariguette",1,"vegetative bud",1,2,0.5
14,"gariguette",2,"vegetative bud",1,1,1
14,"Leroy Ladurie",1,"vegetative bud",2,2,1
14,"Leroy Ladurie",2,"vegetative bud",2,2,1
14,"Leroy Ladurie",3,"stolon",1,1,1
14,"Leroy Ladurie",5,"stolon",1,1,1
14,"Magnum",1,"branch crown",1,1,1
14,"Magnum",2,"vegetative bud",1,1,1
14,"Magnum",3,"vegetative bud",1,1,1
14,"Manon",2,"-1",1,3,0.333333333333333
14,"Manon",2,"vegetative bud",2,3,0.666666666666667
14,"Manon",3,"-1",1,1,1
14,"Moutot",5,"vegetative bud",1,1,1
14,"Osiris",1,"vegetative bud",1,1,1
14,"Osiris",3,"branch crown",1,3,0.333333333333333
14,"Osiris",3,"vegetative bud",2,3,0.666666666666667
14,"Rubis",2,"vegetative bud",1,1,1
14,"Rubis",4,"-1",1,1,1
14,"Rubis",5,"vegetative bud",1,1,1
14,"Sanié",2,"vegetative bud",1,1,1
14,"Sanié",3,"vegetative bud",1,1,1
14,"Sanié",5,"branch crown",1,2,0.5
14,"Sanié",5,"vegetative bud",1,2,0.5
14,"Sans rivale",2,"vegetative bud",2,2,1
15,"Belle_et_Bonne",2,"vegetative bud",2,2,1
15,"Belle_et_Bonne",3,"vegetative bud",3,3,1
15,"Belrubi",2,"branch crown",1,1,1
15,"CF10277",3,"vegetative bud",1,1,1
15,"CF12074",3,"vegetative bud",2,2,1
15,"CF12074",4,"branch crown",1,2,0.5
15,"CF12074",4,"vegetative bud",1,2,0.5
15,"CF9416",2,"branch crown",1,2,0.5
15,"CF9416",2,"vegetative bud",1,2,0.5
15,"CF9416",4,"vegetative bud",1,1,1
15,"Cigaline",2,"vegetative bud",1,1,1
15,"CIR107",2,"branch crown",1,1,1
15,"CIR107",3,"vegetative bud",2,2,1
15,"Cireine",2,"stolon",1,1,1
15,"Cireine",3,"vegetative bud",2,2,1
15,"Clery",3,"vegetative bud",1,1,1
15,"Clery",4,"vegetative bud",1,1,1
15,"Dream",5,"vegetative bud",2,2,1
15,"gariguette",1,"vegetative bud",1,1,1
15,"gariguette",2,"branch crown",1,2,0.5
15,"gariguette",2,"vegetative bud",1,2,0.5
15,"Leroy Ladurie",1,"stolon",1,2,0.5
15,"Leroy Ladurie",1,"vegetative bud",1,2,0.5
15,"Leroy Ladurie",2,"vegetative bud",2,2,1
15,"Leroy Ladurie",3,"vegetative bud",1,1,1
15,"Leroy Ladurie",5,"vegetative bud",1,1,1
15,"Magnum",2,"vegetative bud",2,2,1
15,"Magnum",3,"vegetative bud",1,1,1
15,"Manon",2,"vegetative bud",2,2,1
15,"Moutot",5,"vegetative bud",1,1,1
15,"Osiris",1,"branch crown",1,1,1
15,"Osiris",3,"vegetative bud",2,2,1
15,"Osiris",4,"vegetative bud",1,1,1
15,"Rubis",2,"vegetative bud",1,1,1
15,"Rubis",4,"stolon",1,1,1
15,"Rubis",5,"branch crown",1,1,1
15,"Sanié",5,"vegetative bud",1,1,1
15,"Sanié",6,"vegetative bud",1,1,1
15,"Sans rivale",2,"branch crown",1,2,0.5
15,"Sans rivale",2,"vegetative bud",1,2,0.5
16,"Belle_et_Bonne",2,"branch crown",1,2,0.5
16,"Belle_et_Bonne",2,"vegetative bud",1,2,0.5
16,"Belle_et_Bonne",3,"vegetative bud",1,1,1
16,"Belrubi",3,"vegetative bud",1,1,1
16,"CF10277",3,"-1",1,1,1
16,"CF12074",3,"vegetative bud",1,1,1
16,"CF12074",4,"-1",1,1,1
16,"CF12074",5,"vegetative bud",1,1,1
16,"CF9416",2,"branch crown",1,2,0.5
16,"CF9416",2,"vegetative bud",1,2,0.5
16,"CF9416",4,"vegetative bud",1,1,1
16,"Cigaline",2,"vegetative bud",1,1,1
16,"CIR107",2,"branch crown",1,1,1
16,"CIR107",3,"vegetative bud",1,1,1
16,"Cireine",2,"vegetative bud",1,1,1
16,"Cireine",3,"vegetative bud",2,2,1
16,"Clery",3,"-1",1,1,1
16,"Clery",4,"vegetative bud",1,1,1
16,"Dream",5,"vegetative bud",2,2,1
16,"gariguette",1,"branch crown",1,1,1
16,"gariguette",2,"vegetative bud",2,2,1
16,"Leroy Ladurie",1,"-1",1,2,0.5
16,"Leroy Ladurie",1,"branch crown",1,2,0.5
16,"Leroy Ladurie",2,"vegetative bud",2,2,1
16,"Leroy Ladurie",3,"vegetative bud",1,1,1
16,"Leroy Ladurie",5,"vegetative bud",1,1,1
16,"Magnum",2,"vegetative bud",2,2,1
16,"Manon",2,"vegetative bud",2,2,1
16,"Moutot",5,"vegetative bud",1,1,1
16,"Osiris",2,"vegetative bud",1,1,1
16,"Osiris",3,"vegetative bud",1,1,1
16,"Osiris",4,"vegetative bud",1,1,1
16,"Rubis",2,"vegetative bud",1,1,1
16,"Rubis",4,"vegetative bud",1,1,1
16,"Rubis",6,"vegetative bud",1,1,1
16,"Sanié",6,"vegetative bud",1,1,1
16,"Sans rivale",3,"vegetative bud",1,1,1
17,"Belle_et_Bonne",2,"-1",1,1,1
17,"Belle_et_Bonne",3,"vegetative bud",1,1,1
17,"Belrubi",3,"vegetative bud",1,1,1
17,"CF12074",3,"vegetative bud",1,1,1
17,"CF12074",5,"vegetative bud",1,1,1
17,"CF9416",2,"vegetative bud",1,1,1
17,"CF9416",3,"vegetative bud",1,1,1
17,"Cigaline",2,"vegetative bud",1,1,1
17,"CIR107",3,"-1",1,2,0.5
17,"CIR107",3,"vegetative bud",1,2,0.5
17,"Cireine",2,"vegetative bud",1,1,1
17,"Cireine",3,"vegetative bud",1,1,1
17,"Dream",5,"branch crown",1,1,1
17,"gariguette",2,"-1",1,2,0.5
17,"gariguette",2,"vegetative bud",1,2,0.5
17,"Leroy Ladurie",1,"branch crown",1,1,1
17,"Leroy Ladurie",2,"vegetative bud",3,3,1
17,"Leroy Ladurie",3,"vegetative bud",1,1,1
17,"Leroy Ladurie",5,"vegetative bud",1,1,1
17,"Magnum",2,"vegetative bud",2,2,1
17,"Osiris",2,"vegetative bud",1,1,1
17,"Osiris",4,"vegetative bud",1,1,1
17,"Rubis",2,"vegetative bud",1,1,1
17,"Rubis",4,"vegetative bud",1,1,1
17,"Rubis",6,"vegetative bud",1,1,1
17,"Sanié",6,"vegetative bud",1,1,1
17,"Sans rivale",3,"-1",1,1,1
18,"Belle_et_Bonne",2,"vegetative bud",1,1,1
18,"Belle_et_Bonne",3,"vegetative bud",1,1,1
18,"Belrubi",3,"vegetative bud",1,1,1
18,"CF12074",5,"vegetative bud",1,1,1
18,"CF9416",2,"-1",1,1,1
18,"CF9416",3,"vegetative bud",1,1,1
18,"CIR107",3,"vegetative bud",1,1,1
18,"Cireine",2,"vegetative bud",1,1,1
18,"Dream",6,"vegetative bud",1,1,1
18,"gariguette",2,"vegetative bud",1,1,1
18,"Leroy Ladurie",2,"stolon",1,3,0.333333333333333
18,"Leroy Ladurie",2,"vegetative bud",2,3,0.666666666666667
18,"Leroy Ladurie",3,"vegetative bud",1,1,1
18,"Leroy Ladurie",5,"vegetative bud",1,1,1
18,"Osiris",2,"vegetative bud",1,1,1
18,"Rubis",2,"vegetative bud",1,1,1
18,"Rubis",6,"vegetative bud",1,1,1
19,"Belle_et_Bonne",2,"vegetative bud",1,1,1
19,"Belle_et_Bonne",3,"vegetative bud",1,1,1
19,"CF12074",5,"vegetative bud",1,1,1
19,"CF9416",3,"vegetative bud",1,1,1
19,"CIR107",3,"vegetative bud",1,1,1
19,"Cireine",2,"vegetative bud",1,1,1
19,"gariguette",2,"-1",1,1,1
19,"Leroy Ladurie",2,"stolon",1,3,0.333333333333333
19,"Leroy Ladurie",2,"vegetative bud",2,3,0.666666666666667
19,"Leroy Ladurie",3,"vegetative bud",1,1,1
19,"Rubis",2,"vegetative bud",1,1,1
19,"Rubis",6,"vegetative bud",1,1,1
20,"Belle_et_Bonne",2,"vegetative bud",1,1,1
20,"Belle_et_Bonne",3,"vegetative bud",1,1,1
20,"Cireine",2,"vegetative bud",1,1,1
20,"Leroy Ladurie",2,"vegetative bud",2,2,1
20,"Leroy Ladurie",3,"vegetative bud",1,1,1
20,"Rubis",2,"vegetative bud",1,1,1
20,"Rubis",6,"vegetative bud",1,1,1
21,"Belle_et_Bonne",2,"vegetative bud",1,1,1
21,"Cireine",2,"vegetative bud",1,1,1
21,"Leroy Ladurie",2,"stolon",1,2,0.5
21,"Leroy Ladurie",2,"vegetative bud",1,2,0.5
21,"Rubis",6,"vegetative bud",1,1,1
22,"Belle_et_Bonne",2,"vegetative bud",1,1,1
22,"Cireine",2,"vegetative bud",1,1,1
22,"Leroy Ladurie",2,"vegetative bud",2,2,1
22,"Rubis",6,"vegetative bud",1,1,1
23,"Belle_et_Bonne",2,"vegetative bud",1,1,1
23,"Leroy Ladurie",2,"vegetative bud",2,2,1
24,"Leroy Ladurie",2,"vegetative bud",1,1,1
